               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10916,            0.063625,            0.055245,            0.019676,            0.048645,            0.012846,           0.0026857,            0.090976,             0.05102,            0.052725,             0.00058,             0.00058,             0.09478
                   1,            0.083622,             0.07434,            0.047229,             0.94796,            0.077381,             0.12787,            0.045857,            0.070934,            0.047305,            0.046546,            0.001166,            0.001166,            0.089466
                   2,            0.068113,            0.065489,            0.042289,             0.36052,              0.3167,              0.2281,            0.079673,            0.060047,            0.039331,            0.041545,            0.001736,            0.001736,            0.084136
                   3,            0.064295,            0.059476,             0.03871,             0.23071,             0.37835,             0.24671,            0.075539,            0.058505,            0.034456,             0.03699,           0.0022784,           0.0022784,            0.078778
                   4,            0.062261,            0.056369,            0.035163,             0.31289,             0.45502,             0.34322,             0.13452,            0.051696,            0.033541,            0.033369,           0.0027824,           0.0027824,            0.073382
                   5,             0.06012,            0.054131,            0.032047,             0.28796,             0.50355,             0.36061,             0.14391,            0.050985,            0.031996,            0.031095,           0.0032382,           0.0032382,            0.067938
                   6,            0.056968,            0.053245,            0.029822,             0.34616,             0.51897,             0.41343,             0.17671,            0.047381,            0.031073,            0.029217,           0.0036373,           0.0036373,            0.062437
                   7,            0.055219,            0.052762,            0.028167,             0.28459,             0.60151,             0.40085,             0.15867,            0.050526,            0.031744,              0.0285,           0.0039729,           0.0039729,            0.056873
                   8,            0.056232,            0.051015,            0.026757,             0.36524,             0.57393,             0.45676,             0.19071,            0.048334,            0.030504,               0.027,             0.00424,             0.00424,             0.05124
                   9,            0.055814,            0.051331,            0.026104,             0.46067,             0.55688,             0.51117,             0.20483,            0.048305,            0.030272,            0.025466,           0.0044356,           0.0044356,            0.045536
                  10,             0.05372,            0.048419,             0.02369,             0.48699,             0.58806,             0.53301,             0.18628,            0.049882,            0.030188,            0.022645,           0.0045589,           0.0045589,            0.039759
                  11,            0.050779,            0.049321,            0.021322,              0.6342,             0.65787,             0.67592,             0.32617,            0.043183,            0.030138,             0.02057,           0.0046111,           0.0046111,            0.033911
                  12,            0.050317,            0.047218,             0.01969,             0.56677,             0.71238,             0.64857,             0.27878,            0.046869,             0.03029,             0.01939,            0.004596,            0.004596,            0.027996
                  13,            0.048265,            0.047557,            0.018873,              0.5682,             0.77002,             0.66967,             0.30126,            0.044681,            0.030185,            0.017912,           0.0045193,           0.0045193,            0.022019
                  14,            0.049592,            0.048807,            0.017326,             0.63905,             0.67885,             0.67037,              0.3019,            0.044142,            0.029676,            0.017355,           0.0043888,           0.0043888,            0.015989
                  15,            0.048842,            0.048581,            0.017498,             0.61619,             0.68441,             0.66077,             0.28494,            0.044668,            0.029482,            0.016512,           0.0042145,           0.0042145,           0.0099145
                  16,            0.046851,            0.048336,            0.016949,             0.67415,              0.7733,             0.75258,             0.36954,            0.042207,            0.029193,            0.015717,               0.004,               0.004,               0.004
                  17,            0.046571,            0.048617,            0.015865,             0.81951,             0.76905,             0.81473,             0.38909,            0.041628,            0.029642,            0.014354,               0.004,               0.004,               0.004
                  18,            0.044177,            0.047991,            0.014211,             0.84916,              0.7433,             0.80489,             0.37953,            0.042632,            0.029676,            0.013639,            0.003565,            0.003565,            0.003565
                  19,            0.043808,            0.048073,            0.013384,             0.86141,             0.79762,             0.86438,             0.43895,            0.040284,            0.029351,            0.012118,           0.0031716,           0.0031716,           0.0031716
                  20,            0.041769,            0.046622,            0.012191,             0.88294,             0.82756,             0.88705,              0.4516,            0.039588,            0.028758,             0.01063,           0.0028266,           0.0028266,           0.0028266
                  21,            0.040484,            0.044726,            0.011549,             0.85512,             0.83068,             0.88264,             0.44152,             0.03988,            0.029098,            0.010481,           0.0025359,           0.0025359,           0.0025359
                  22,            0.040439,            0.046487,             0.01178,             0.88112,             0.81135,               0.878,             0.43119,            0.041107,            0.029293,             0.01063,           0.0023045,           0.0023045,           0.0023045
                  23,            0.041216,            0.044588,            0.011387,             0.88925,             0.82466,             0.88973,              0.4644,            0.038894,            0.028951,            0.010066,           0.0021363,           0.0021363,           0.0021363
