               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10916,            0.063628,            0.055244,            0.020831,            0.044123,            0.012957,           0.0027048,            0.090971,            0.051028,            0.052723,             0.00058,             0.00058,             0.09478
                   1,            0.083598,            0.074329,            0.047221,               0.288,             0.19127,             0.12864,            0.045987,             0.07091,             0.04728,            0.046537,           0.0011694,           0.0011694,            0.089469
                   2,            0.068061,            0.065437,            0.042266,             0.35649,             0.31608,             0.22723,            0.079618,            0.059998,            0.039198,             0.04148,           0.0017566,           0.0017566,            0.084157
                   3,            0.064557,            0.059295,            0.038643,             0.23233,             0.36316,             0.24529,               0.076,            0.059021,            0.034406,            0.036911,           0.0023398,           0.0023398,             0.07884
                   4,            0.062505,            0.056265,            0.035043,             0.31509,             0.43881,             0.34346,             0.13225,            0.051602,            0.033623,            0.033408,           0.0029174,           0.0029174,            0.073517
                   5,            0.060253,            0.053973,            0.031827,             0.25615,             0.59898,             0.34508,             0.11976,            0.054194,            0.031507,            0.030988,           0.0034877,           0.0034877,            0.068188
                   6,            0.057946,            0.052894,            0.029589,              0.3461,             0.47406,             0.40414,             0.16374,            0.050097,            0.030975,            0.029154,            0.004049,            0.004049,            0.062849
                   7,            0.055262,            0.052634,            0.027952,             0.34247,             0.59272,             0.46346,             0.17645,             0.04882,            0.030762,            0.027696,           0.0045999,           0.0045999,              0.0575
                   8,            0.057047,            0.051009,            0.026435,             0.46272,             0.50299,              0.4594,             0.18247,            0.048131,            0.030714,            0.026656,           0.0051386,           0.0051386,            0.052139
                   9,            0.057482,             0.05103,            0.025558,             0.48959,             0.57434,             0.55004,              0.2273,            0.047732,            0.029857,             0.02425,           0.0056638,           0.0056638,            0.046764
                  10,            0.054328,            0.048344,            0.022667,             0.45464,             0.62129,              0.5476,             0.20052,            0.049669,            0.030833,             0.02164,           0.0061739,           0.0061739,            0.041374
                  11,            0.051912,            0.049377,            0.020324,             0.66231,             0.62265,             0.67343,             0.29594,            0.045717,            0.030724,            0.019975,           0.0066677,           0.0066677,            0.035968
                  12,            0.051554,            0.047134,            0.018837,              0.5131,             0.72037,             0.63525,             0.26855,            0.047175,            0.030195,             0.01843,           0.0071436,           0.0071436,            0.030544
                  13,            0.049852,            0.047611,            0.018261,             0.61714,              0.7564,             0.71978,              0.3231,            0.044219,             0.02995,            0.016707,           0.0076006,           0.0076006,            0.025101
                  14,            0.051935,             0.04933,            0.016726,             0.59653,             0.71718,             0.67131,             0.26491,            0.049323,             0.03005,            0.016453,           0.0080374,           0.0080374,            0.019637
                  15,            0.052268,            0.049191,            0.016694,              0.6768,             0.69834,              0.7112,             0.30387,             0.04701,            0.030482,             0.01616,           0.0084529,           0.0084529,            0.014153
                  16,             0.05107,            0.049522,            0.015438,             0.82659,             0.75207,             0.81454,             0.36918,            0.045439,            0.030744,            0.014015,           0.0088284,           0.0088284,           0.0088284
                  17,            0.049819,            0.049446,            0.014111,             0.81586,             0.78364,             0.83508,             0.39258,            0.043073,            0.030341,            0.012111,           0.0088284,           0.0088284,           0.0088284
                  18,            0.048157,            0.049071,            0.013041,             0.78681,             0.74783,              0.7965,             0.37217,            0.044671,            0.031729,            0.013807,           0.0086862,           0.0086862,           0.0086862
                  19,            0.046102,            0.049618,             0.01247,             0.80973,             0.79671,             0.81634,             0.37483,            0.044176,             0.03083,            0.011959,           0.0085376,           0.0085376,           0.0085376
                  20,            0.044884,            0.048053,            0.011489,             0.86652,             0.80712,             0.86241,             0.42756,            0.041502,             0.03056,            0.010832,           0.0083828,           0.0083828,           0.0083828
                  21,            0.043275,            0.046358,            0.010834,             0.84999,             0.81344,             0.85952,             0.40739,            0.042421,            0.030278,            0.010881,           0.0082223,           0.0082223,           0.0082223
                  22,            0.044595,            0.047825,            0.011429,             0.85781,             0.81916,              0.8683,             0.41557,            0.043906,            0.030665,            0.011205,           0.0080564,           0.0080564,           0.0080564
                  23,            0.044103,             0.04613,            0.010815,              0.8926,              0.8392,             0.88535,              0.4301,            0.042197,            0.030204,           0.0098845,           0.0078856,           0.0078856,           0.0078856
                  24,            0.042063,            0.046864,           0.0099267,             0.89278,             0.81163,             0.87581,             0.44556,            0.040174,            0.029844,           0.0095392,           0.0077102,           0.0077102,           0.0077102
                  25,            0.041388,            0.046807,           0.0098925,             0.84861,              0.8241,             0.85978,             0.45245,            0.040491,            0.031047,            0.011131,           0.0075307,           0.0075307,           0.0075307
                  26,            0.041395,             0.04588,            0.010007,             0.89122,             0.82312,             0.87442,             0.44688,            0.040083,            0.030029,           0.0093447,           0.0073476,           0.0073476,           0.0073476
                  27,            0.041618,            0.046532,           0.0098956,             0.89467,             0.83729,             0.87584,             0.45097,            0.040499,            0.029731,           0.0099215,           0.0071611,           0.0071611,           0.0071611
                  28,            0.041019,            0.042929,            0.010027,              0.8546,             0.82793,             0.87026,             0.43748,            0.040563,            0.030055,            0.010924,           0.0069719,           0.0069719,           0.0069719
                  29,            0.040773,            0.046322,           0.0090151,             0.89344,              0.8269,             0.88179,             0.45992,            0.040033,            0.030007,           0.0092971,           0.0067804,           0.0067804,           0.0067804
                  30,            0.040045,            0.045512,            0.009089,             0.91466,             0.83893,             0.89303,             0.47471,            0.039355,            0.029793,           0.0087558,           0.0065869,           0.0065869,           0.0065869
                  31,            0.040035,            0.044708,            0.009089,             0.87527,             0.83906,             0.87859,             0.46908,             0.03919,            0.029527,           0.0097423,           0.0063921,           0.0063921,           0.0063921
                  32,            0.039778,            0.044191,            0.009114,             0.89338,             0.84396,             0.88305,             0.47393,            0.038789,             0.02941,           0.0099668,           0.0061963,           0.0061963,           0.0061963
                  33,            0.039638,            0.046918,            0.009038,             0.89324,             0.84265,             0.88857,             0.46368,            0.039222,            0.030275,           0.0088976,               0.006,               0.006,               0.006
                  34,            0.038385,            0.045086,           0.0085208,             0.87832,              0.8447,             0.89284,             0.46801,            0.039688,            0.029611,           0.0089796,           0.0058037,           0.0058037,           0.0058037
                  35,            0.038639,            0.044272,           0.0085604,             0.89523,             0.84432,             0.88784,             0.45239,            0.040275,            0.029693,           0.0090396,           0.0056079,           0.0056079,           0.0056079
                  36,            0.038381,            0.044656,           0.0086352,             0.89551,             0.83787,             0.88246,             0.46817,            0.038954,            0.029452,           0.0091364,           0.0054131,           0.0054131,           0.0054131
                  37,            0.038099,            0.043949,           0.0082143,              0.8721,             0.85388,             0.88382,             0.47313,            0.038675,             0.02944,           0.0096436,           0.0052196,           0.0052196,           0.0052196
                  38,            0.037368,            0.044135,           0.0079257,              0.9036,             0.86269,             0.89992,             0.47837,            0.038988,            0.029145,            0.009297,           0.0050281,           0.0050281,           0.0050281
                  39,            0.036786,            0.044491,           0.0076437,             0.90885,             0.85635,             0.89659,              0.4883,            0.038169,            0.029235,           0.0090625,           0.0048389,           0.0048389,           0.0048389
                  40,            0.036966,            0.044292,           0.0079771,             0.89734,             0.85078,             0.89592,             0.48168,            0.038346,            0.029423,           0.0094511,           0.0046524,           0.0046524,           0.0046524
                  41,            0.036515,            0.042256,           0.0077564,             0.88071,             0.84959,             0.89142,             0.47562,            0.038628,            0.029554,           0.0087177,           0.0044693,           0.0044693,           0.0044693
                  42,            0.036335,             0.04284,           0.0076363,             0.91027,             0.83286,             0.89328,             0.48123,            0.038255,            0.029303,           0.0088653,           0.0042898,           0.0042898,           0.0042898
                  43,            0.036194,            0.043238,           0.0074855,             0.90578,             0.84069,             0.89192,             0.48225,            0.038362,            0.029472,           0.0090187,           0.0041144,           0.0041144,           0.0041144
                  44,            0.036067,            0.040977,           0.0076263,             0.91193,             0.84172,             0.89209,             0.48831,            0.038316,            0.029632,           0.0088878,           0.0039436,           0.0039436,           0.0039436
                  45,            0.036492,            0.042169,           0.0077542,             0.92168,             0.84687,             0.90121,             0.48162,            0.038789,            0.029314,           0.0084675,           0.0037777,           0.0037777,           0.0037777
                  46,            0.035934,            0.042154,           0.0072623,             0.90122,             0.85383,              0.8969,             0.47668,            0.038246,            0.029499,           0.0087125,           0.0036172,           0.0036172,           0.0036172
                  47,            0.035907,             0.04335,            0.007399,             0.90648,             0.86221,             0.90248,              0.4857,            0.037937,            0.029118,           0.0084077,           0.0034624,           0.0034624,           0.0034624
                  48,            0.035517,            0.042259,           0.0071139,             0.91379,             0.85801,             0.90285,             0.49354,            0.037946,             0.02927,            0.008201,           0.0033138,           0.0033138,           0.0033138
                  49,            0.035146,            0.041597,            0.006991,             0.88228,             0.85839,             0.89363,             0.48447,             0.03806,            0.029291,           0.0092533,           0.0031716,           0.0031716,           0.0031716
                  50,            0.035029,            0.040205,           0.0072029,             0.92252,             0.86262,             0.90321,             0.49176,            0.037927,            0.029753,           0.0086931,           0.0030362,           0.0030362,           0.0030362
                  51,            0.035153,            0.040166,           0.0069998,             0.91832,              0.8607,             0.90067,             0.48781,            0.037932,            0.029851,           0.0088955,            0.002908,            0.002908,            0.002908
                  52,             0.03464,            0.041245,           0.0068061,             0.90235,              0.8649,             0.89844,             0.48827,            0.037687,            0.029354,           0.0089318,           0.0027872,           0.0027872,           0.0027872
                  53,            0.034209,            0.039837,           0.0067615,             0.90801,             0.86504,             0.90024,             0.48539,            0.037798,            0.029319,            0.008539,           0.0026741,           0.0026741,           0.0026741
                  54,            0.033772,             0.04047,           0.0065266,             0.92592,             0.83202,             0.89615,             0.48888,            0.038193,            0.029539,           0.0088454,           0.0025691,           0.0025691,           0.0025691
                  55,            0.034037,            0.040462,           0.0070254,             0.90304,             0.86061,             0.89724,             0.49303,            0.037836,             0.02959,           0.0091259,           0.0024723,           0.0024723,           0.0024723
                  56,            0.034133,            0.040444,           0.0064817,             0.92064,             0.84767,              0.8975,             0.48997,            0.038194,             0.02979,           0.0086189,            0.002384,            0.002384,            0.002384
                  57,            0.033899,            0.040751,           0.0062736,              0.9052,             0.86386,             0.90171,             0.48683,             0.03787,             0.02983,           0.0090825,           0.0023045,           0.0023045,           0.0023045
                  58,            0.034049,            0.041209,           0.0065639,             0.89653,             0.85784,             0.89855,             0.48536,            0.037912,            0.029462,           0.0090428,           0.0022338,           0.0022338,           0.0022338
                  59,            0.034068,            0.040297,           0.0066834,             0.88381,              0.8554,             0.88841,             0.48011,            0.038047,            0.029929,            0.010028,           0.0021722,           0.0021722,           0.0021722
                  60,            0.033637,            0.038588,           0.0064421,             0.92653,             0.85215,             0.89974,             0.49091,            0.038158,            0.029845,           0.0086684,           0.0021199,           0.0021199,           0.0021199
                  61,            0.033525,            0.039882,           0.0065496,             0.90933,             0.85063,              0.8936,             0.48792,             0.03781,             0.02953,           0.0084129,           0.0020769,           0.0020769,           0.0020769
                  62,             0.03355,            0.041444,           0.0064084,             0.90733,             0.85654,             0.89801,             0.48604,            0.038201,            0.030164,           0.0087786,           0.0020433,           0.0020433,           0.0020433
                  63,             0.03305,            0.040795,           0.0060026,             0.92279,             0.85759,              0.9027,             0.49061,            0.037896,            0.029979,           0.0083398,           0.0020193,           0.0020193,           0.0020193
